,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
93,Parda,3433218,SE_20 30,35212.0,1025.6266861003292
94,Indígena,12977,SE_20 30,132.0,1017.1842490560222
95,Branca,6824668,SE_20 31,96566.0,1414.95527694534
96,Preta,736083,SE_20 31,14493.0,1968.935568407367
97,Amarela,246244,SE_20 31,3692.0,1499.3258718994168
98,Parda,3433218,SE_20 31,39061.0,1137.737248260961
99,Indígena,12977,SE_20 31,144.0,1109.6555444247515
100,Branca,6824668,SE_20 32,106623.0,1562.317756702597
101,Preta,736083,SE_20 32,16011.0,2175.1623118588527
102,Amarela,246244,SE_20 32,4058.0,1647.9589350400415
103,Parda,3433218,SE_20 32,43052.0,1253.9838716912238
104,Indígena,12977,SE_20 32,156.0,1202.1268397934807
105,Branca,6824668,SE_20 33,117010.0,1714.515636511549
106,Preta,736083,SE_20 33,17580.0,2388.317621789934
107,Amarela,246244,SE_20 33,4435.0,1801.0591121001933
108,Parda,3433218,SE_20 33,47172.0,1373.987902894602
109,Indígena,12977,SE_20 33,168.0,1294.5981351622102
110,Branca,6824668,SE_20 34,127679.0,1870.8455854555855
111,Preta,736083,SE_20 34,19192.0,2607.314664243027
112,Amarela,246244,SE_20 34,4823.0,1958.626403079872
113,Parda,3433218,SE_20 34,51396.0,1497.0211620701045
114,Indígena,12977,SE_20 34,180.0,1387.0694305309394
115,Branca,6824668,SE_20 35,138648.0,2031.5713526284355
116,Preta,736083,SE_20 35,20831.0,2829.9797713029643
117,Amarela,246244,SE_20 35,5222.0,2120.6608079790776
118,Parda,3433218,SE_20 35,55708.0,1622.6176141450965
119,Indígena,12977,SE_20 35,192.0,1479.5407258996686
120,Branca,6824668,SE_20 36,149855.0,2195.7844689294775
121,Preta,736083,SE_20 36,22505.0,3057.39977692733
122,Amarela,246244,SE_20 36,5632.0,2287.1623267978102
123,Parda,3433218,SE_20 36,60100.0,1750.544241583261
124,Indígena,12977,SE_20 36,204.0,1572.012021268398
125,Branca,6824668,SE_20 37,161301.0,2363.499587086141
126,Preta,736083,SE_20 37,24210.0,3289.0312641373325
127,Amarela,246244,SE_20 37,6053.0,2458.13095953607
128,Parda,3433218,SE_20 37,64577.0,1880.946680344796
129,Indígena,12977,SE_20 37,217.0,1672.1892579178548
130,Branca,6824668,SE_20 38,172958.0,2534.3064307304035
131,Preta,736083,SE_20 38,25949.0,3525.2817956670647
132,Amarela,246244,SE_20 38,6480.0,2631.5361998667986
133,Parda,3433218,SE_20 38,69119.0,2013.2423865889086
134,Indígena,12977,SE_20 38,230.0,1772.3664945673113
135,Branca,6824668,SE_20 39,184779.0,2707.5163216730834
136,Preta,736083,SE_20 39,27715.0,3765.2003918036417
137,Amarela,246244,SE_20 39,6912.0,2806.9719465245853
138,Parda,3433218,SE_20 39,73714.0,2147.081834011123
139,Indígena,12977,SE_20 39,244.0,1880.2496724974956
140,Branca,6824668,SE_20 40,196776.0,2883.3050926433343
141,Preta,736083,SE_20 40,29504.0,4008.2436355682717
142,Amarela,246244,SE_20 40,7349.0,2984.4381995094295
143,Parda,3433218,SE_20 40,78363.0,2282.4941498034786
144,Indígena,12977,SE_20 40,258.0,1988.1328504276798
145,Branca,6824668,SE_20 41,208911.0,3061.1159399988396
146,Preta,736083,SE_20 41,31312.0,4253.868109982162
147,Amarela,246244,SE_20 41,7790.0,3163.5288575559202
148,Parda,3433218,SE_20 41,83068.0,2419.537588350055
149,Indígena,12977,SE_20 41,272.0,2096.016028357864
150,Branca,6824668,SE_20 42,221152.0,3240.4799764618588
151,Preta,736083,SE_20 42,33140.0,4502.209669290012
152,Amarela,246244,SE_20 42,8237.0,3345.05612319488
153,Parda,3433218,SE_20 42,87820.0,2557.9500049224953
