,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
0,Branca,6824668,SE_20 12,51.0,0.7472890988982908
1,Preta,736083,SE_20 12,2.0,0.2717084893958969
2,Amarela,246244,SE_20 12,2.0,0.812202530823086
3,Parda,3433218,SE_20 12,5.0,0.14563596019827463
4,Indígena,12977,SE_20 12,0.0,0.0
5,Branca,6824668,SE_20 13,229.0,3.355474581327619
6,Preta,736083,SE_20 13,17.0,2.309522159865124
7,Amarela,246244,SE_20 13,12.0,4.873215184938516
8,Parda,3433218,SE_20 13,42.0,1.2233420656655067
9,Indígena,12977,SE_20 13,1.0,7.705941280727441
10,Branca,6824668,SE_20 14,591.0,8.659761910762546
11,Preta,736083,SE_20 14,71.0,9.64565137355434
12,Amarela,246244,SE_20 14,28.0,11.370835431523204
13,Parda,3433218,SE_20 14,168.0,4.893368262662027
14,Indígena,12977,SE_20 14,1.0,7.705941280727441
15,Branca,6824668,SE_20 15,1028.0,15.06300379740084
16,Preta,736083,SE_20 15,135.0,18.340323034223044
17,Amarela,246244,SE_20 15,45.0,18.274556943519435
18,Parda,3433218,SE_20 15,339.0,9.874118101443019
19,Indígena,12977,SE_20 15,3.0,23.11782384218232
20,Branca,6824668,SE_20 16,1470.0,21.539509321186028
21,Preta,736083,SE_20 16,190.0,25.812306492610208
22,Amarela,246244,SE_20 16,64.0,25.990480986338753
23,Parda,3433218,SE_20 16,526.0,15.32090301285849
24,Indígena,12977,SE_20 16,3.0,23.11782384218232
25,Branca,6824668,SE_20 17,1971.0,28.88052576330453
26,Preta,736083,SE_20 17,268.0,36.40893757905019
27,Amarela,246244,SE_20 17,92.0,37.36131641786196
28,Parda,3433218,SE_20 17,733.0,21.35023176506706
29,Indígena,12977,SE_20 17,4.0,30.823765122909762
30,Branca,6824668,SE_20 18,2605.0,38.17035495353034
31,Preta,736083,SE_20 18,370.0,50.26607053824093
32,Amarela,246244,SE_20 18,116.0,47.10774678773899
33,Parda,3433218,SE_20 18,1016.0,29.5932271122894
34,Indígena,12977,SE_20 18,4.0,30.823765122909762
35,Branca,6824668,SE_20 19,3220.0,47.18178232259796
36,Preta,736083,SE_20 19,456.0,61.9495355822645
37,Amarela,246244,SE_20 19,146.0,59.29078475008528
38,Parda,3433218,SE_20 19,1317.0,38.36051191622553
39,Indígena,12977,SE_20 19,6.0,46.23564768436464
40,Branca,6824668,SE_20 20,3905.0,57.21890061172206
41,Preta,736083,SE_20 20,576.0,78.25204494601832
42,Amarela,246244,SE_20 20,164.0,66.60060752749305
43,Parda,3433218,SE_20 20,1615.0,47.040415144042704
44,Indígena,12977,SE_20 20,7.0,53.94158896509209
45,Branca,6824668,SE_20 21,4573.0,67.00692253454673
46,Preta,736083,SE_20 21,661.0,89.79965574534394
47,Amarela,246244,SE_20 21,183.0,74.31653157031238
48,Parda,3433218,SE_20 21,1940.0,56.50675255693055
49,Indígena,12977,SE_20 21,8.0,61.647530245819524
50,Branca,6824668,SE_20 22,5260.0,77.0733462785296
51,Preta,736083,SE_20 22,768.0,104.33605992802443
52,Amarela,246244,SE_20 22,202.0,82.03245561313169
53,Parda,3433218,SE_20 22,2210.0,64.37109440763739
54,Indígena,12977,SE_20 22,8.0,61.647530245819524
55,Branca,6824668,SE_20 23,5914.0,86.65623001734296
56,Preta,736083,SE_20 23,885.0,120.2310065576844
57,Amarela,246244,SE_20 23,224.0,90.96668345218563
58,Parda,3433218,SE_20 23,2472.0,72.00241872202697
59,Indígena,12977,SE_20 23,9.0,69.35347152654697
60,Branca,6824668,SE_20 24,6572.0,96.29772466587386
61,Preta,736083,SE_20 24,997.0,135.44668196385462
62,Amarela,246244,SE_20 24,248.0,100.71311382206267
63,Parda,3433218,SE_20 24,2742.0,79.8667605727338
