,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
93,Parda,3433218,SE_20 29,3613.0,105.23654483927324
94,Indígena,12977,SE_20 29,12.0,92.47129536872929
95,Branca,6824668,SE_20 30,9446.0,138.40966329790695
96,Preta,736083,SE_20 30,1460.0,198.34719725900476
97,Amarela,246244,SE_20 30,341.0,138.48053150533616
98,Parda,3433218,SE_20 30,3764.0,109.63475083726114
99,Indígena,12977,SE_20 30,12.0,92.47129536872929
100,Branca,6824668,SE_20 31,9803.0,143.64068699019498
101,Preta,736083,SE_20 31,1502.0,204.0530755363186
102,Amarela,246244,SE_20 31,354.0,143.75984795568624
103,Parda,3433218,SE_20 31,3894.0,113.42128580241628
104,Indígena,12977,SE_20 31,12.0,92.47129536872929
105,Branca,6824668,SE_20 32,10180.0,149.1647652310706
106,Preta,736083,SE_20 32,1543.0,209.6230995689345
107,Amarela,246244,SE_20 32,372.0,151.069670733094
108,Parda,3433218,SE_20 32,4037.0,117.58647426408693
109,Indígena,12977,SE_20 32,12.0,92.47129536872929
110,Branca,6824668,SE_20 33,10517.0,154.10273437477105
111,Preta,736083,SE_20 33,1595.0,216.6875202932278
112,Amarela,246244,SE_20 33,383.0,155.53678465262098
113,Parda,3433218,SE_20 33,4170.0,121.46039080536103
114,Indígena,12977,SE_20 33,12.0,92.47129536872929
115,Branca,6824668,SE_20 34,10749.0,157.5021671383868
116,Preta,736083,SE_20 34,1635.0,222.12169008114574
117,Amarela,246244,SE_20 34,393.0,159.5977973067364
118,Parda,3433218,SE_20 34,4260.0,124.08183808892998
119,Indígena,12977,SE_20 34,12.0,92.47129536872929
120,Branca,6824668,SE_20 35,11054.0,161.97124900434716
121,Preta,736083,SE_20 35,1663.0,225.9256089326883
122,Amarela,246244,SE_20 35,404.0,164.06491122626338
123,Parda,3433218,SE_20 35,4348.0,126.6450309884196
124,Indígena,12977,SE_20 35,12.0,92.47129536872929
125,Branca,6824668,SE_20 36,11291.0,165.44394540510982
126,Preta,736083,SE_20 36,1697.0,230.54465325241856
127,Amarela,246244,SE_20 36,415.0,168.53202514579036
128,Parda,3433218,SE_20 36,4430.0,129.03346073567133
129,Indígena,12977,SE_20 36,12.0,92.47129536872929
130,Branca,6824668,SE_20 37,11533.0,168.98990544301935
131,Preta,736083,SE_20 37,1728.0,234.75613483805495
132,Amarela,246244,SE_20 37,426.0,172.99913906531734
133,Parda,3433218,SE_20 37,4515.0,131.509272059042
134,Indígena,12977,SE_20 37,12.0,92.47129536872929
135,Branca,6824668,SE_20 38,11742.0,172.0523254757594
136,Preta,736083,SE_20 38,1764.0,239.6468876471811
137,Amarela,246244,SE_20 38,433.0,175.84184792319812
138,Parda,3433218,SE_20 38,4581.0,133.4316667336592
139,Indígena,12977,SE_20 38,12.0,92.47129536872929
140,Branca,6824668,SE_20 39,11907.0,174.4700255016068
141,Preta,736083,SE_20 39,1791.0,243.3149522540257
142,Amarela,246244,SE_20 39,438.0,177.87235425025585
143,Parda,3433218,SE_20 39,4636.0,135.03366229584023
144,Indígena,12977,SE_20 39,13.0,100.17723664945673
145,Branca,6824668,SE_20 40,12081.0,177.01960007431865
146,Preta,736083,SE_20 40,1813.0,246.30374563738056
147,Amarela,246244,SE_20 40,443.0,179.90286057731356
148,Parda,3433218,SE_20 40,4690.0,136.6065306659816
149,Indígena,12977,SE_20 40,13.0,100.17723664945673
150,Branca,6824668,SE_20 41,12209.0,178.89514918527905
151,Preta,736083,SE_20 41,1833.0,249.02083053133953
152,Amarela,246244,SE_20 41,447.0,181.52726563895973
153,Parda,3433218,SE_20 41,4743.0,138.1502718440833
154,Indígena,12977,SE_20 41,13.0,100.17723664945673
155,Branca,6824668,SE_20 42,12310.0,180.37507465564624
156,Preta,736083,SE_20 42,1851.0,251.46620693590262
157,Amarela,246244,SE_20 42,454.0,184.36997449684054
158,Parda,3433218,SE_20 42,4788.0,139.46099548586778
159,Indígena,12977,SE_20 42,13.0,100.17723664945673
160,Branca,6824668,SE_20 43,12399.0,181.67916739686092
161,Preta,736083,SE_20 43,1866.0,253.50402060637182
162,Amarela,246244,SE_20 43,458.0,185.9943795584867
163,Parda,3433218,SE_20 43,4818.0,140.33481124705742
164,Indígena,12977,SE_20 43,13.0,100.17723664945673
165,Branca,6824668,SE_20 44,12478.0,182.8367328637818
166,Preta,736083,SE_20 44,1873.0,254.45500031925746
167,Amarela,246244,SE_20 44,461.0,187.21268335472132
168,Parda,3433218,SE_20 44,4845.0,141.12124543212812
169,Indígena,12977,SE_20 44,13.0,100.17723664945673
170,Branca,6824668,SE_20 45,12570.0,184.1847837872846
171,Preta,736083,SE_20 45,1886.0,256.2211055003308
172,Amarela,246244,SE_20 45,463.0,188.02488588554442
173,Parda,3433218,SE_20 45,4873.0,141.93680680923845
174,Indígena,12977,SE_20 45,14.0,107.88317793018417
175,Branca,6824668,SE_20 46,12694.0,186.0017219885275
176,Preta,736083,SE_20 46,1899.0,257.9872106814041
177,Amarela,246244,SE_20 46,468.0,190.05539221260213
178,Parda,3433218,SE_20 46,4909.0,142.98538572266602
179,Indígena,12977,SE_20 46,14.0,107.88317793018417
